,conf_mat
0,"tensor([[  0.,  51.],
        [  0., 166.]])"
1,"tensor([[  0.,  51.],
        [  0., 166.]])"
2,"tensor([[  0.,  51.],
        [  0., 166.]])"
3,"tensor([[  0.,  51.],
        [  0., 166.]])"
4,"tensor([[  0.,  51.],
        [  0., 166.]])"
5,"tensor([[  0.,  51.],
        [  0., 166.]])"
6,"tensor([[  0.,  51.],
        [  0., 166.]])"
7,"tensor([[  0.,  51.],
        [  0., 166.]])"
8,"tensor([[  0.,  51.],
        [  0., 166.]])"
9,"tensor([[  0.,  51.],
        [  0., 166.]])"
10,"tensor([[  0.,  51.],
        [  0., 166.]])"
11,"tensor([[  0.,  51.],
        [  0., 166.]])"
12,"tensor([[  0.,  51.],
        [  0., 166.]])"
13,"tensor([[  0.,  51.],
        [  0., 166.]])"
14,"tensor([[  0.,  51.],
        [  0., 166.]])"
15,"tensor([[  0.,  51.],
        [  0., 166.]])"
16,"tensor([[  0.,  51.],
        [  0., 166.]])"
17,"tensor([[  0.,  51.],
        [  0., 166.]])"
18,"tensor([[  0.,  51.],
        [  0., 166.]])"
19,"tensor([[  0.,  51.],
        [  0., 166.]])"
20,"tensor([[  0.,  51.],
        [  0., 166.]])"
21,"tensor([[  0.,  51.],
        [  0., 166.]])"
22,"tensor([[  0.,  51.],
        [  0., 166.]])"
23,"tensor([[  0.,  51.],
        [  0., 166.]])"
24,"tensor([[  0.,  51.],
        [  0., 166.]])"
25,"tensor([[  0.,  51.],
        [  0., 166.]])"
26,"tensor([[  0.,  51.],
        [  0., 166.]])"
27,"tensor([[  0.,  51.],
        [  0., 166.]])"
28,"tensor([[  0.,  51.],
        [  0., 166.]])"
29,"tensor([[  0.,  51.],
        [  0., 166.]])"
30,"tensor([[  0.,  51.],
        [  0., 166.]])"
31,"tensor([[  0.,  51.],
        [  0., 166.]])"
32,"tensor([[  0.,  51.],
        [  0., 166.]])"
33,"tensor([[  0.,  51.],
        [  0., 166.]])"
34,"tensor([[  0.,  51.],
        [  0., 166.]])"
35,"tensor([[  0.,  51.],
        [  0., 166.]])"
36,"tensor([[  0.,  51.],
        [  0., 166.]])"
37,"tensor([[  0.,  51.],
        [  0., 166.]])"
38,"tensor([[  0.,  51.],
        [  0., 166.]])"
39,"tensor([[  0.,  51.],
        [  0., 166.]])"
40,"tensor([[  0.,  51.],
        [  0., 166.]])"
41,"tensor([[  0.,  51.],
        [  0., 166.]])"
42,"tensor([[  0.,  51.],
        [  0., 166.]])"
43,"tensor([[  0.,  51.],
        [  0., 166.]])"
44,"tensor([[  0.,  51.],
        [  0., 166.]])"
45,"tensor([[  0.,  51.],
        [  0., 166.]])"
46,"tensor([[  0.,  51.],
        [  0., 166.]])"
47,"tensor([[  0.,  51.],
        [  0., 166.]])"
48,"tensor([[  0.,  51.],
        [  0., 166.]])"
49,"tensor([[  0.,  51.],
        [  0., 166.]])"
50,"tensor([[  0.,  51.],
        [  0., 166.]])"
51,"tensor([[  0.,  51.],
        [  0., 166.]])"
52,"tensor([[  0.,  51.],
        [  0., 166.]])"
53,"tensor([[  0.,  51.],
        [  0., 166.]])"
54,"tensor([[  0.,  51.],
        [  0., 166.]])"
55,"tensor([[  0.,  51.],
        [  0., 166.]])"
56,"tensor([[  0.,  51.],
        [  0., 166.]])"
57,"tensor([[  0.,  51.],
        [  0., 166.]])"
58,"tensor([[  0.,  51.],
        [  0., 166.]])"
59,"tensor([[  0.,  51.],
        [  0., 166.]])"
60,"tensor([[  0.,  51.],
        [  0., 166.]])"
61,"tensor([[  0.,  51.],
        [  0., 166.]])"
62,"tensor([[  0.,  51.],
        [  0., 166.]])"
63,"tensor([[  0.,  51.],
        [  0., 166.]])"
64,"tensor([[  0.,  51.],
        [  0., 166.]])"
65,"tensor([[  2.,  49.],
        [  0., 166.]])"
66,"tensor([[  9.,  42.],
        [  0., 166.]])"
67,"tensor([[ 13.,  38.],
        [  0., 166.]])"
68,"tensor([[ 27.,  24.],
        [  0., 166.]])"
69,"tensor([[ 44.,   7.],
        [  0., 166.]])"
70,"tensor([[ 50.,   1.],
        [  0., 166.]])"
71,"tensor([[ 50.,   1.],
        [  0., 166.]])"
72,"tensor([[ 51.,   0.],
        [  0., 166.]])"
73,"tensor([[ 51.,   0.],
        [  0., 166.]])"
74,"tensor([[ 51.,   0.],
        [  0., 166.]])"
75,"tensor([[ 51.,   0.],
        [  0., 166.]])"
76,"tensor([[ 51.,   0.],
        [  0., 166.]])"
77,"tensor([[ 51.,   0.],
        [  0., 166.]])"
78,"tensor([[ 51.,   0.],
        [  0., 166.]])"
79,"tensor([[ 51.,   0.],
        [  0., 166.]])"
80,"tensor([[ 51.,   0.],
        [  0., 166.]])"
81,"tensor([[ 51.,   0.],
        [  0., 166.]])"
82,"tensor([[ 51.,   0.],
        [  0., 166.]])"
83,"tensor([[ 51.,   0.],
        [  0., 166.]])"
84,"tensor([[ 51.,   0.],
        [  0., 166.]])"
85,"tensor([[ 51.,   0.],
        [  0., 166.]])"
86,"tensor([[ 51.,   0.],
        [  0., 166.]])"
87,"tensor([[ 51.,   0.],
        [  0., 166.]])"
88,"tensor([[ 51.,   0.],
        [  0., 166.]])"
89,"tensor([[ 51.,   0.],
        [  0., 166.]])"
90,"tensor([[ 51.,   0.],
        [  0., 166.]])"
91,"tensor([[ 51.,   0.],
        [  0., 166.]])"
92,"tensor([[ 51.,   0.],
        [  0., 166.]])"
93,"tensor([[ 51.,   0.],
        [  0., 166.]])"
94,"tensor([[ 51.,   0.],
        [  0., 166.]])"
95,"tensor([[ 51.,   0.],
        [  0., 166.]])"
96,"tensor([[ 51.,   0.],
        [  0., 166.]])"
97,"tensor([[ 51.,   0.],
        [  0., 166.]])"
98,"tensor([[ 51.,   0.],
        [  0., 166.]])"
99,"tensor([[ 51.,   0.],
        [  0., 166.]])"
100,"tensor([[ 51.,   0.],
        [  0., 166.]])"
101,"tensor([[ 51.,   0.],
        [  0., 166.]])"
102,"tensor([[ 51.,   0.],
        [  0., 166.]])"
103,"tensor([[ 51.,   0.],
        [  0., 166.]])"
104,"tensor([[ 51.,   0.],
        [  0., 166.]])"
105,"tensor([[ 51.,   0.],
        [  0., 166.]])"
106,"tensor([[ 51.,   0.],
        [  0., 166.]])"
107,"tensor([[ 51.,   0.],
        [  0., 166.]])"
108,"tensor([[ 51.,   0.],
        [  0., 166.]])"
109,"tensor([[ 51.,   0.],
        [  0., 166.]])"
110,"tensor([[ 51.,   0.],
        [  0., 166.]])"
111,"tensor([[ 51.,   0.],
        [  0., 166.]])"
112,"tensor([[ 51.,   0.],
        [  0., 166.]])"
113,"tensor([[ 51.,   0.],
        [  0., 166.]])"
114,"tensor([[ 51.,   0.],
        [  0., 166.]])"
115,"tensor([[ 51.,   0.],
        [  0., 166.]])"
116,"tensor([[ 51.,   0.],
        [  0., 166.]])"
117,"tensor([[ 51.,   0.],
        [  0., 166.]])"
118,"tensor([[ 51.,   0.],
        [  0., 166.]])"
119,"tensor([[ 51.,   0.],
        [  0., 166.]])"
120,"tensor([[ 51.,   0.],
        [  0., 166.]])"
121,"tensor([[ 51.,   0.],
        [  0., 166.]])"
122,"tensor([[ 51.,   0.],
        [  0., 166.]])"
123,"tensor([[ 51.,   0.],
        [  0., 166.]])"
124,"tensor([[ 51.,   0.],
        [  0., 166.]])"
125,"tensor([[ 51.,   0.],
        [  0., 166.]])"
126,"tensor([[ 51.,   0.],
        [  0., 166.]])"
127,"tensor([[ 51.,   0.],
        [  0., 166.]])"
128,"tensor([[ 51.,   0.],
        [  0., 166.]])"
129,"tensor([[ 51.,   0.],
        [  0., 166.]])"
130,"tensor([[ 51.,   0.],
        [  0., 166.]])"
131,"tensor([[ 51.,   0.],
        [  0., 166.]])"
132,"tensor([[ 51.,   0.],
        [  0., 166.]])"
133,"tensor([[ 51.,   0.],
        [  0., 166.]])"
134,"tensor([[ 51.,   0.],
        [  0., 166.]])"
135,"tensor([[ 51.,   0.],
        [  0., 166.]])"
136,"tensor([[ 51.,   0.],
        [  0., 166.]])"
137,"tensor([[ 51.,   0.],
        [  0., 166.]])"
138,"tensor([[ 51.,   0.],
        [  0., 166.]])"
139,"tensor([[ 51.,   0.],
        [  0., 166.]])"
140,"tensor([[ 51.,   0.],
        [  0., 166.]])"
141,"tensor([[ 51.,   0.],
        [  0., 166.]])"
142,"tensor([[ 51.,   0.],
        [  0., 166.]])"
143,"tensor([[ 51.,   0.],
        [  0., 166.]])"
144,"tensor([[ 51.,   0.],
        [  0., 166.]])"
145,"tensor([[ 51.,   0.],
        [  0., 166.]])"
146,"tensor([[ 51.,   0.],
        [  0., 166.]])"
